"YEAR","CASEID","METRO","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","HH_NUMADULTS","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","EDUCYRS","MULTJOBS","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","KIDUND18","KIDUND1","COVIDTELEW","ACT_HHACT"
2020,20200706200581,2,12,2,1,0,1,0,2,1,1,1.0200056560201E7,62,2,100,1,216,0,2,24,769.23,1,0,0,99,0
2020,20200706200585,1,11,1,1,0,1,0,1,1,1,2158139.156198,64,1,100,6,214,99,99,9999,99999.99,3,0,0,99,109
2020,20200706200588,3,14,2,1,0,1,0,2,1,1,1.1155789437287E7,60,2,100,1,112,0,2,25,653.84,1,0,0,99,325
2020,20200706200589,1,15,2,1,0,1,0,2,1,1,1.9310994246481E7,39,1,100,1,112,1,1,68,1442.3,1,0,0,99,15
2020,20200706200592,4,16,2,1,0,1,0,2,1,1,1.2989970499356E7,56,2,100,1,217,0,1,40,1711.53,1,0,0,99,30
2020,20200706200600,3,15,3,1,1,1,1,2,1,1,3651717.805324,47,2,100,1,217,99,99,9999,99999.99,1,1,0,99,441
2020,20200706200601,4,14,1,1,0,1,0,1,1,1,1917716.020961,76,2,100,4,316,99,99,9999,99999.99,3,0,0,99,425
2020,20200706200606,4,1,1,1,0,1,0,1,1,1,4121951.005708,58,2,100,4,112,99,99,9999,99999.99,3,0,0,99,75
2020,20200706200607,3,3,2,1,0,1,0,2,1,1,1.0511466701735E7,75,2,100,3,111,99,99,9999,99999.99,3,0,0,99,205
2020,20200706200608,2,15,5,1,1,1,3,2,1,1,8660529.101022,42,1,100,1,213,0,1,40,1524.4,1,1,0,99,0
2020,20200706200618,2,11,2,2,1,1,1,1,1,1,1630540.39007,40,2,100,4,316,0,1,37,903.84,3,1,0,99,30
2020,20200706200621,2,14,2,2,0,1,0,2,1,1,1.2937558308748E7,62,1,100,1,112,0,1,40,1307.69,1,0,0,99,99
2020,20200706200630,3,16,4,1,1,1,2,2,1,1,1.2025990394328E7,40,2,100,1,316,0,1,40,884.0,1,1,0,99,150
2020,20200706200631,1,15,3,2,1,1,1,2,1,1,1.0497505317313E7,28,1,100,1,217,0,1,43,848.4,1,1,0,99,245
2020,20200706200633,4,6,2,1,0,1,0,2,1,1,1.5131875246209E7,62,1,110,3,111,99,99,9999,99999.99,3,0,0,99,60
2020,20200706200640,2,16,2,1,0,1,0,2,1,1,3286297.828212,85,1,100,1,320,99,99,9999,99999.99,1,0,0,99,455
2020,20200706200641,4,7,1,2,0,1,0,1,1,1,5040218.200554,56,2,110,6,112,0,1,39,535.0,3,0,0,99,58
